고객 이름,Membership Type,시도,시군구,상세주소,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
로하스치과의원_대구 달서구,,대구광역시,달서구,도원로 29,053-633-8024,Treatment center Intego,6427285,244165,2018-05-18,110050,EAST
서울새이치과의원,,경기도,용인시,수지구 신수로 767,031-229-1633,Treatment center Intego,6427285,247064,2019-02-08,108357,EAST
양지바른치과,,서울특별시,서초구,방배로 118,02-581-2273,Treatment center Intego,6427285,243468,2018-03-28,109182,EAST
양지바른치과,,서울특별시,서초구,방배로 118,02-581-2273,Treatment center Intego,6427285,243469,2018-03-28,109182,EAST
박성철 그리고 치과,,인천광역시,연수구,신송로 153,032-834-2275,Treatment center Intego,6427285,200276,2018-01-11,110420,WEST
분당서울대학교병원,6336791 Extended warranty Intego/pro 1+4,경기도,성남시,분당구 구미로173번길 82,031-787-1356,Treatment center Intego,6427285,373312,2024-02-22,104209,EAST
장주혜치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,종로구,새문안로5길 31,,Treatment center Intego,6427285,372978,2024-01-13,113617,WEST
형제치과의원,6336783 Extended warranty Intego/pro (1+2),제주특별자치도,서귀포시,중정로 104,064-763-9800,Treatment center Intego,6427285,369908,2023-12-27,113832,WEST
이사랑치과_서울 마포구,6336783 Extended warranty Intego/pro (1+2),서울특별시,마포구,백범로 205 펜트라우스 105동 1층,02-701-2199,Treatment center Intego,6427285,371206,2023-11-30,111156,WEST
스마일독일치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,송파구,송파대로 437,02-3432-2882,Treatment center Intego,6427285,372458,2023-11-19,113500,EAST
스마일독일치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,송파구,송파대로 437,02-3432-2882,Treatment center Intego,6427285,372404,2023-11-19,113500,EAST
스마일독일치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,송파구,송파대로 437,02-3432-2882,Treatment center Intego,6427285,372403,2023-11-19,113500,EAST
스마일독일치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,송파구,송파대로 437,02-3432-2882,Treatment center Intego,6427285,372402,2023-11-19,113500,EAST
스마일독일치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,송파구,송파대로 437,02-3432-2882,Treatment center Intego,6427285,372401,2023-11-19,113500,EAST
스마일독일치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,송파구,송파대로 437,02-3432-2882,Treatment center Intego,6427285,372400,2023-11-19,113500,EAST
다른치과 (DARN Dental Clinic),6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,강남대로 652,02-3446-2080,Treatment center Intego,6427285,371210,2023-09-27,113349,EAST
다른치과 (DARN Dental Clinic),6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,강남대로 652,02-3446-2080,Treatment center Intego,6427285,371209,2023-09-27,113349,EAST
다른치과 (DARN Dental Clinic),6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,강남대로 652,02-3446-2080,Treatment center Intego,6427285,371208,2023-09-27,113349,EAST
다른치과 (DARN Dental Clinic),6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,강남대로 652,02-3446-2080,Treatment center Intego,6427285,371207,2023-09-27,113349,EAST
국민건강보험공단일산병원(주식회사나유),6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 100,031-900-0114,Treatment center Intego,6427285,370909,2023-08-12,109803,WEST
국민건강보험공단일산병원(주식회사나유),6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 100,031-900-0114,Treatment center Intego,6427285,370908,2023-08-12,109803,WEST
국민건강보험공단일산병원(주식회사나유),6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 100,031-900-0114,Treatment center Intego,6427285,370907,2023-08-12,109803,WEST
국민건강보험공단일산병원(주식회사나유),6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 100,031-900-0114,Treatment center Intego,6427285,370906,2023-08-12,109803,WEST
사과나무치과의원_충남 아산,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 매곡리 1218 젤존트윈시티 1동 405호,041-427-2882,Treatment center Intego,6427285,370139,2023-08-07,113367,WEST
사과나무치과의원_충남 아산,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 매곡리 1218 젤존트윈시티 1동 405호,041-427-2882,Treatment center Intego,6427285,370114,2023-08-07,113367,WEST
사과나무치과의원_충남 아산,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 매곡리 1218 젤존트윈시티 1동 405호,041-427-2882,Treatment center Intego,6427285,370113,2023-08-07,113367,WEST
사과나무치과의원_충남 아산,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 매곡리 1218 젤존트윈시티 1동 405호,041-427-2882,Treatment center Intego,6427285,370112,2023-08-07,113367,WEST
사과나무치과의원_충남 아산,6336783 Extended warranty Intego/pro (1+2),충청남도,아산시,탕정면 매곡리 1218 젤존트윈시티 1동 405호,041-427-2882,Treatment center Intego,6427285,370111,2023-08-07,113367,WEST
쉐르빌서울치과,6336783 Extended warranty Intego/pro (1+2),서울특별시,광진구,구의3동  199-18번지 삼성쉐르상가빌 209호,02-2201-0568,Treatment center Intego,6427285,370483,2023-06-20,107843,EAST
금토정성치과의원,6336783 Extended warranty Intego/pro (1+2),경기도,성남시,수정구 금토로80번길,031-709-2888,Treatment center Intego,6427285,370705,2023-06-27,113259,EAST
금토정성치과의원,6336783 Extended warranty Intego/pro (1+2),경기도,성남시,수정구 금토로80번길,031-709-2888,Treatment center Intego,6427285,370704,2023-06-27,113259,EAST
금토정성치과의원,6336783 Extended warranty Intego/pro (1+2),경기도,성남시,수정구 금토로80번길,031-709-2888,Treatment center Intego,6427285,370660,2023-06-27,113259,EAST
분당서울대학교병원,6336791 Extended warranty Intego/pro 1+4,경기도,성남시,분당구 구미로173번길 82,031-787-1356,Treatment center Intego,6427285,369765,2023-05-19,104209,EAST
삼성서울병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,369094,2023-04-30,104334,EAST
삼성서울병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,369093,2023-04-30,104334,EAST
삼성서울병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,369092,2023-04-30,104334,EAST
더앞선치과병원,6336783 Extended warranty Intego/pro (1+2),경상남도,창원시,성산구 마디미로16번길 9,055-714-1111,Treatment center Intego,6427285,263206,2023-03-31,113713,EAST
서울라인치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,도곡로 519,02-566-5129,Treatment center Intego,6427285,368065,2023-03-30,107287,EAST
정치과의원,6336791 Extended warranty Intego/pro 1+4,충청남도,홍성군,광천읍 홍남로 670,041-641-3699,Treatment center Intego,6427285,368055,2023-02-06,108418,WEST
반석치과보존과치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,중구,무교로 19,02-776-2080,Treatment center Intego,6427285,367055,2022-10-05,112863,WEST
반석치과보존과치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,중구,무교로 19,02-776-2080,Treatment center Intego,6427285,366914,2022-10-05,112863,WEST
반석치과보존과치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,중구,무교로 19,02-776-2080,Treatment center Intego,6427285,366915,2022-10-05,112863,WEST
반석치과보존과치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,중구,무교로 19,02-776-2080,Treatment center Intego,6427285,366916,2022-10-04,112863,WEST
국군대전병원,6336783 Extended warranty Intego/pro (1+2),대전광역시,유성구,자운동 100-1 사서함78-504호,,Treatment center Intego,6427285,366828,2022-09-02,104633,WEST
국민건강보험공단일산병원(주식회사나유),6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 100,031-900-0114,Treatment center Intego,6427285,266375,2022-07-16,109803,WEST
국민건강보험공단일산병원(주식회사나유),6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 100,031-900-0114,Treatment center Intego,6427285,266376,2022-07-16,109803,WEST
국민건강보험공단일산병원(주식회사나유),6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 100,031-900-0114,Treatment center Intego,6427285,266377,2022-07-16,109803,WEST
국민건강보험공단일산병원(주식회사나유),6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 100,031-900-0114,Treatment center Intego,6427285,266378,2022-07-16,109803,WEST
국민건강보험공단일산병원(주식회사나유),6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 100,031-900-0114,Treatment center Intego,6427285,266379,2022-07-16,109803,WEST
국민건강보험공단일산병원(주식회사나유),6336783 Extended warranty Intego/pro (1+2),경기도,고양시,일산동구 일산로 100,031-900-0114,Treatment center Intego,6427285,266380,2022-07-16,109803,WEST
닥터앰버치과의원,6336783 Extended warranty Intego/pro (1+2),부산광역시,해운대구,달맞이길117번가길 153,051-951-0075,Treatment center Intego,6427285,261217,2022-07-15,112785,EAST
국군서울지구병원(주식회사 나유),,서울특별시,종로구,삼청동 10길 13,02-397-3943,Treatment center Intego,6427285,254663,2020-05-25,109668,WEST
분당서울대학교병원,6336791 Extended warranty Intego/pro 1+4,경기도,성남시,분당구 구미로173번길 82,031-787-1356,Treatment center Intego,6427285,367421,2022-10-20,104209,EAST
닥터앰버치과의원,6336783 Extended warranty Intego/pro (1+2),부산광역시,해운대구,달맞이길117번가길 153,051-951-0075,Treatment center Intego,6427285,367856,2022-12-22,112785,EAST
국군수도병원,6336783 Extended warranty Intego/pro (1+2),경기도,성남시,분당구 새마을로177번길 81,031-725-5114,Treatment center Intego,6427285,367629,2022-12-10,106155,EAST
국군수도병원,6336783 Extended warranty Intego/pro (1+2),경기도,성남시,분당구 새마을로177번길 81,031-725-5114,Treatment center Intego,6427285,367628,2022-12-10,106155,EAST
국군수도병원,6336783 Extended warranty Intego/pro (1+2),경기도,성남시,분당구 새마을로177번길 81,031-725-5114,Treatment center Intego,6427285,367627,2022-12-10,106155,EAST
국군수도병원,6336783 Extended warranty Intego/pro (1+2),경기도,성남시,분당구 새마을로177번길 81,031-725-5114,Treatment center Intego,6427285,367626,2022-12-10,106155,EAST
BK치과의원_충북 청주시,6336783 Extended warranty Intego/pro (1+2),충청북도,청주시,흥덕구 직지대로 530,043-264-0006,Treatment center Intego,6427285,257983,2022-12-01,110330,WEST
해동경제연구원(주식회사 나유),6336783 Extended warranty Intego/pro (1+2),서울특별시,서초구,내곡동 1-3080,,Treatment center Intego,6427285,367630,2022-11-30,,EAST
해동경제연구원(주식회사 나유),6336783 Extended warranty Intego/pro (1+2),서울특별시,서초구,내곡동 1-3080,,Treatment center Intego,6427285,367631,2022-11-30,,EAST
삼성서울병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,일원로 81,02-3410-2828,Treatment center Intego,6427285,367615,2022-11-20,104334,EAST
행복나눔부부치과의원,6336791 Extended warranty Intego/pro 1+4,경상북도,영천시,시장로 62-1,054-333-2275,Treatment center Intego,6427285,255581,2022-05-27,111183,EAST
서울S치과의원(연천),6336791 Extended warranty Intego/pro 1+4,경기도,연천군,전곡읍 전곡로 137,031-835-2804,Treatment center Intego,6427285,266516,2022-07-21,105821,EAST
연세이로운치과보존과치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,마포구,월드컵로 98,010-4768-2143,Treatment center Intego,6427285,265195,2022-04-20,112529,WEST
연세이로운치과보존과치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,마포구,월드컵로 98,010-4768-2143,Treatment center Intego,6427285,265196,2022-04-20,112529,WEST
연세이로운치과보존과치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,마포구,월드컵로 98,010-4768-2143,Treatment center Intego,6427285,265197,2022-04-20,112529,WEST
연세이로운치과보존과치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,마포구,월드컵로 98,010-4768-2143,Treatment center Intego,6427285,265220,2022-04-20,112529,WEST
하늘리더스치과,6336783 Extended warranty Intego/pro (1+2),인천광역시,중구,하늘중앙로 193,032-751-2840,Treatment center Intego,6427285,266253,2022-06-27,111002,WEST
형제치과의원,6336783 Extended warranty Intego/pro (1+2),제주특별자치도,서귀포시,중정로 104,064-763-9800,Treatment center Intego,6427285,263401,2022-01-12,113832,WEST
바노바기일레븐치과의원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강남구,논현로 521-3,02-562-2522,Treatment center Intego,6427285,263274,2021-12-15,107986,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262424,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262423,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262422,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262421,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262401,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262400,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262399,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262398,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262397,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262396,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262395,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262394,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262376,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262375,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262374,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262373,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262372,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262371,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262370,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262369,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262368,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262367,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262366,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262365,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262364,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262363,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262362,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262361,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262360,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262351,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262350,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262349,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262348,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262347,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262328,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262327,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262326,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262325,2021-12-04,103412,EAST
강동경희대학교병원,6336783 Extended warranty Intego/pro (1+2),서울특별시,강동구,동남로 892,02-440-6526,Treatment center Intego,6427285,262290,2021-12-04,103412,EAST
국군대전병원,6336783 Extended warranty Intego/pro (1+2),대전광역시,유성구,자운동 100-1 사서함78-504호,,Treatment center Intego,6427285,263040,2021-11-25,104633,WEST
U.N.I치과,6336783 Extended warranty Intego/pro (1+2),대전광역시,서구,탄방동 599 5층,042-486-2875,Treatment center Intego,6427285,262802,2021-11-11,103568,WEST
22세기서울치과병원,6336783 Extended warranty Intego/pro (1+2),인천광역시,연수구,컨벤시아대로 69,032-858-2080,Treatment center Intego,6427285,262633,2021-11-01,107908,WEST
명학하나치과,,경기도,안양시,덕천로 52,031-444-7528,HD Plus Wall version,6483734,90307,2025-05-14,107450,WEST
경희의료원,Local Warranty Extension (1+2),서울특별시,동대문구,경희대로 23,02-958-9915-6,HD Plus Wall version,6483734,90355,2024-12-18,104181,EAST
더스마트치과의원,,대전광역시,유성구,도룡동 3-1 대전신세계엑스포점 타워 4층,010-2671-3670,HD Plus Wall version,6483734,71763,2021-08-11,112201,WEST
경희의료원,Local Warranty Extension (1+2),서울특별시,동대문구,경희대로 23,02-958-9915-6,HD Plus Wall version,6483734,69748,2021-01-27,104181,EAST
경희의료원,Local Warranty Extension (1+2),서울특별시,동대문구,경희대로 23,02-958-9915-6,HD Plus Wall version,6483734,69713,2021-01-27,104181,EAST
서울다루치과,,서울특별시,송파구,석촌호수로 94,02-6285-2275,HD Plus Wall version,6483734,69689,2021-01-21,111864,EAST
2사단의무근무대(주식회사 나유),Local Warranty Extension (1+2),경기도,김포시,사우동 ,010-3870-8978,HD Plus Wall version,6483734,74664,2021-09-07,,WEST
연세주니어치과,,서울특별시,양천구,신정동  323-9번지 이스타빌3차 B동 205호,02-2646-2875,HD Plus Wall version,6483734,74753,2021-09-02,109951,WEST
해양의료원,Local Warranty Extension (1+2),경상남도,창원시,진해구 자은동 417-3 ,,HD Plus Wall version,6483734,71906,2021-09-03,,EAST
53사단 의무대(주식회사 나유),Local Warranty Extension (1+2),부산광역시,해운대구,장산로 427,,HD Plus Wall version,6483734,74652,2021-09-02,,EAST
육군부사관학교의무대(주식회사 나유),Local Warranty Extension (1+2),전북특별자치도,익산시,여산면 두여리 1192-11,010-5083-0398,HD Plus Wall version,6483734,74624,2021-09-01,,WEST
17사단의무대(주식회사 나유),Local Warranty Extension (1+2),인천광역시,부평구,무네미로 447번길,,HD Plus Wall version,6483734,74569,2021-08-31,,WEST
30기갑여단의무대(주식회사 나유),Local Warranty Extension (1+2),경기도,고양시,덕양구 원당동,010-8964-5708,HD Plus Wall version,6483734,71914,2021-08-26,,WEST
군사안보지원령부(주식회사 나유),Local Warranty Extension (1+2),경기도,과천시,과천우체국 사서함 80호,010-9523-2419,HD Plus Wall version,6483734,74660,2021-08-25,,WEST
102기갑 의무실(주식회사 나유),Local Warranty Extension (1+2),강원특별자치도,양양군,강현면 진미로 29-48,010-6810-9788,HD Plus Wall version,6483734,71766,2021-08-24,,EAST
학교법인가톨릭학원 가톨릭대학교 인천성모병원,Local Warranty Extension (1+1),인천광역시,부평구,동수로 56,032-280-5128(1544-9004),HD Plus Wall version,6483734,69390,2020-10-29,104949,WEST
백석문화대학교,Local Warranty Extension (1+2),충청남도,천안시,동남구 문암로 58,,HD Plus Wall version,6483734,69381,2020-08-19,111464,WEST
백석문화대학교,Local Warranty Extension (1+2),충청남도,천안시,동남구 문암로 58,,HD Plus Wall version,6483734,69324,2020-08-19,111464,WEST
백석문화대학교,Local Warranty Extension (1+2),충청남도,천안시,동남구 문암로 58,,HD Plus Wall version,6483734,69323,2020-08-19,111464,WEST
백석문화대학교,Local Warranty Extension (1+2),충청남도,천안시,동남구 문암로 58,,HD Plus Wall version,6483734,69322,2020-08-19,111464,WEST
분당서울대학교병원,,경기도,성남시,분당구 구미로173번길 82,031-787-1356,HD Plus Wall version,6483734,69270,2020-08-13,104209,EAST
해군3함대(주식회사 나유),,전라남도,영암군,삼호읍 용당리,,HD Plus Wall version,6483734,69266,2020-07-29,,WEST
해군인방사(주식회사 나유),,인천광역시,중구,북성동,,HD Plus Wall version,6483734,69262,2020-07-28,,WEST
육군훈련소지구병원(주식회사 나유),,충청남도,논산시,연무읍 주평리 366-4,041-740-8534,HD Plus Wall version,6483734,69178,2020-07-24,,WEST
국군서울지구병원(주식회사 나유),,서울특별시,종로구,삼청동 10길 13,02-397-3943,HD Plus Wall version,6483734,68663,2020-07-23,109668,WEST
해병6여단(주식회사 나유),,인천광역시,옹진군,백령면,,HD Plus Wall version,6483734,69217,2020-08-04,,WEST
육군사관학교병원(주식회사 나유),,서울특별시,노원구,화랑로 574,,HD Plus Wall version,6483734,68662,2020-07-23,,EAST
55사단의무대(주식회 나유),,경기도,용인시,처인구 포곡읍 포곡로170,,HD Plus Wall version,6483734,68659,2020-07-22,,EAST
해군2함대(주식회사 나유),,경기도,평택시,포승읍 원정리,,HD Plus Wall version,6483734,68658,2020-07-21,,WEST
7군단의무실(주식회사 나유),,경기도,이천시,장호원읍 이황3리  7276부대,,HD Plus Wall version,6483734,68656,2020-07-21,,EAST
36사단의무대(주식회사 나유),,강원특별자치도,원주시,소초면 흥양리 1673,,HD Plus Wall version,6483734,68655,2020-07-20,,EAST
특수전교육단(주식회사 나유),,경기도,광주시,오포읍 양벌로 353번길 30,,HD Plus Wall version,6483734,68654,2020-07-20,,EAST
2기갑여단(주식회사 나유),,경기도,파주시,아동동 평일로 사서함 22-3호,,HD Plus Wall version,6483734,68648,2020-07-16,,WEST
72사단의무대(주식회사 나유),,경기도,양주시,장흥면 북한산로 966-8,,HD Plus Wall version,6483734,68647,2020-07-15,,EAST
해군1함대(주식회사나유),,강원특별자치도,동해시,하평로 11,,HD Plus Wall version,6483734,68646,2020-07-17,,EAST
22사단의무대(주식회사 나유),,강원특별자치도,고성군,광포호길15,,HD Plus Wall version,6483734,68644,2020-07-16,,EAST
21사단의무대(주식회사 나유),,강원특별자치도,양구군,양구읍 금강산로 510,,HD Plus Wall version,6483734,67643(M6175744S68643),2020-07-15,,EAST
28사단의무대(주식회사 나유),,경기도,양주시,은현면 364로 431-54,,HD Plus Wall version,6483734,68642,2020-07-14,,EAST
27사단의무대(주식회사 나유),,강원특별자치도,화천군,사내면 수피령로 163,,HD Plus Wall version,6483734,68639,2020-07-14,,EAST
8사단의무대(주식회사 나유),,경기도,양주시,백석읍 방성리,,HD Plus Wall version,6483734,68638,2020-07-14,,EAST
3사단의무대(주식회나 나유),,강원특별자치도,철원군,서면 자등리 1,,HD Plus Wall version,6483734,68636,2020-07-13,,EAST
1기갑여단(주식회사나유),,경기도,포천시,영북면 운천로 10-5 3739부대,,HD Plus Wall version,6483734,68635,2020-07-13,,EAST
5사단(주식회사 나유)_경기 연천,,경기도,연천군,전곡읍 평화로 874,,HD Plus Wall version,6483734,68626,2020-07-13,,EAST
20여단의무대(주식회사 나유),,강원특별자치도,홍천군,화촌면 송정3길 16,,HD Plus Wall version,6483734,68617,2020-07-10,,EAST
11사단의무대(주식회사 나유),,강원특별자치도,홍천군,홍천로 132,,HD Plus Wall version,6483734,68622,2020-07-10,,EAST
32사단의무대(주식회사 나유),,세종특별자치시,,금남면 채나무길21 ,,HD Plus Wall version,6483734,68621,2020-07-08,,WEST
항작사의무실(주식회사 나유),,경기도,이천시,모가면,,HD Plus Wall version,6483734,68625,2020-07-09,,EAST
계룡대지구병원(주식회사 나유),,충청남도,계룡시,신도안면 정장리,,HD Plus Wall version,6483734,68614,2020-07-09,,WEST
39사단의무대(주식회사 나유),,경상남도,함안군,군북면 소포리 470-21 ,010-7708-8007,HD Plus Wall version,6483734,68634,2020-07-07,,EAST
37사단의무대(주식회사나유),,충청북도,증평군,증평읍 사서함 82-10호,,HD Plus Wall version,6483734,68613,2020-07-07,,WEST
해군부산기지전대(주식회사 나유),,부산광역시,남구,용호동,,HD Plus Wall version,6483734,67492,2020-07-08,,EAST
학생군사학교(주식회사 나유),,충청북도,괴산군,괴산읍 문무로 177,,HD Plus Wall version,6483734,67491,2020-07-07,,WEST
9사단의무대(주식회사 나유),,경기도,고양시,일산동구 풍동 208-11,,HD Plus Wall version,6483734,67228,2020-07-06,,WEST
3사교병원(주식회사 나유),,경상북도,영천시,고경면 호국로 사서함 135-1호,,HD Plus Wall version,6483734,67490(M6175744S67490),2020-07-06,,EAST
사과나무치과의원,,경기도,부천시,역곡로 8,032-343-2871,HD Plus Wall version,6483734,68241,2020-06-17,109093,WEST
대풍치과의원(경남 창원),,경상남도,창원시,성산구 대암로 101,055-715-2875,HD Plus Wall version,6483734,67184,2019-12-30,111341,EAST
