고객 이름,Membership Type,시도,시군구,상세주소,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
부산대학교 치의학전문대학원,,경상남도,양산시,물금읍 부산대학로 49,,Multimat Cube press 230 V,5460280011,44130712,2023-03-27,106185,EAST
케이원치과기공소,,울산광역시,동구,방어진순환도로 625,052-252-8208,Multimat Cube press 230 V,5460280011,44130721,2023-03-21,110998,EAST
오랄아트,,서울특별시,양천구,신목로 74 ,02-2645-2804,Multimat Cube press 230 V,5460280011,44130698,2023-01-26,104768,WEST
자이치과기공소,,인천광역시,계양구,안남로573번길 26,,Multimat Cube press 230 V,5460280011,44130599,2022-08-18,,WEST
미래치과기공소_경기 용인,,경기도,용인시,기흥구 신갈로 68번길 4,031-284-2804,Multimat Cube press 230 V,5460280011,44130722,2022-09-27,106914,EAST
뉴프라임기공소,,경기도,성남시,분당구 야탑로81번길 10,010-5130-5684,Multimat Cube press 230 V,5460280011,44130699,2022-08-17,,EAST
참조은치과기공소,,부산광역시,동래구,충렬대로 237번길 34,051·556·2808,Multimat Cube press 230 V,5460280011,44930373,2020-11-05,112983,EAST
우리치과기공소,,경상남도,거제시,수양1길 51,055-634-2804,Multimat Cube press 230 V,5460280011,44130704,2022-10-31,,EAST
건양치과기공소,,전북특별자치도,전주시,완산구 온고을로26,010-9245-4454,Multimat Cube press 230 V,5460280011,44130697,2022-06-21,112697,WEST
제이준치과기공소,,대구광역시,수성구,동대구로 358-26. 4층,,Multimat Cube press 230 V,5460280011,44030663,2022-03-18,,EAST
엘앤와이치과기공소,,서울특별시,구로구,고척로6길 29,02-849-8745,Multimat Cube press 230 V,5460280011,44030655,2022-07-26,102214,WEST
아트플러스덴탈랩 (주),,서울특별시,노원구,공릉동 621-7 소망빌딩 2층,02-975-4035,Multimat Cube press 230 V,5460280011,44130690,2022-04-15,112395,EAST
바이탈치과기공소,,서울특별시,동작구,상도로 94,010-2002-4780,Multimat Cube press 230 V,5460280011,44130688,2022-04-14,112544,WEST
K치과기공소,,서울특별시,송파구,풍납동 87-16 2층,02-6052-2084,Multimat Cube press 230 V,5460280011,44030664,2022-02-22,,EAST
아미치과기공소-광진,,서울특별시,광진구,용마산로1길 103,02-546-2879,Multimat Cube press 230 V,5460280011,44030669,2022-01-28,101806,EAST
(주) 덴탈하이브 (Dental Hive),,서울특별시,성동구,아차산로 126,02-2231-9440,Multimat Cube press 230 V,5460280011,44930441,2022-01-11,106854,EAST
심포니치과기공소,,서울특별시,성동구,성수동1가 14-36 3층,02-467-8679,Multimat Cube press 230 V,5460280011,44930521,2021-12-21,107280,EAST
그랜드덴탈랩치과기공소,,서울특별시,은평구,은평구 통일로 876,02-852-2804,Multimat Cube press 230 V,5460280011,44930388,2021-12-21,111380,WEST
명인기공소,,경상북도,포항시,남구 오천읍 문덕리 345-1 ,,Multimat Cube press 230 V,5460280011,400506,2021-12-24,,EAST
참치과기공소,,경상남도,김해시,김해대로 1784-7,055-313-3573,Multimat Cube press 230 V,5460280011,44930478,2021-12-03,112449,EAST
에르메스기공소,,경기도,광명시,하안동 305-6 5층 1호,010-4445-5924,Multimat Cube press 230 V,5460280011,44930411,2021-10-26,,WEST
세기치과기공소,,대구광역시,달서구,학산로7길 82,010-7525-0386,inEos X5 (incl. interface module),6324649,3317,2015-10-28,104410,EAST
당진수치과의원,,충청남도,당진시,당진중앙2로 88,041-353-1718,inEos X5 (incl. interface module),6324649,2853,2015-05-29,109566,WEST
선경치과기공소,,대구광역시,북구,산격동 1498-56,053-354-3836,inEos X5 (incl. interface module),6324649,2419,2015-02-03,108779,EAST
한미르덴탈랩,,서울특별시,도봉구,방학로 130,02-954-4242,inEos X5 (incl. interface module),6324649,5295,2017-06-27,108124,EAST
(주)한국심미치과기공소,,대전광역시,서구,갈마동 1374,,inEos X5 (incl. interface module),6324649,,2015-07-31,,WEST
삼송서울치과_경기 고양시,,경기도,고양시,덕양구 권율대로 672,031-969-2835,Tornado 4 with Membrane Drying,Duerr_4282-01,F316193008,2015-09-22,109301,WEST
해바라기치과,,부산광역시,남구,문현3동  374-1번지 이안상가 B 1층 04-06호,051-642-2804,Tornado 4 with Membrane Drying,Duerr_4282-01,F316193004,2015-09-22,105511,EAST
통영 Zahn-Art 치과기공소 (쟌아트기공소),,경상남도,통영시,장대길 47-5,055-646-2804,Tornado 4 with Membrane Drying,Duerr_4282-01,E310281013,2015-06-23,105857,EAST
의료법인 영훈의료재단 선치과병원_중촌동,,대전광역시,중구,대종로 645,422515000,Tornado 4 with Membrane Drying,Duerr_4282-01,E100768C5_o2,2015-03-06,100282,WEST
탑클래스치과의원,,전북특별자치도,전주시,덕진구 세병남로 39 4층 1,063-254-3000,Tornado 4 with Membrane Drying,Duerr_4282-01,H335883007,2016-12-19,110580,WEST
한국치과병원,,경기도,안산시,단원구 광덕서로 86,031-506-3651,Tornado 4 with Membrane Drying,Duerr_4282-01,F312768030,2015-10-14,108609,WEST
센텀국제치과의원,,부산광역시,해운대구,우동 1505,051-720-8020,Tornado 4 with Membrane Drying,Duerr_4282-01,H333396004,2016-05-31,102875,EAST
고려대학교의료원,,서울특별시,성북구,고려대로 73,1577-0083,Tornado 4 with Membrane Drying,Duerr_4282-01,F315350007,2016-02-16,103525,EAST
