고객 이름,Membership Type,시도,시군구,상세주소(도로명주소).1.1,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
더블유(W)서울화이트치과의원,,서울특별시,노원구,월계로45길 21,02-906-2080,Primescan Connect,6795491,M6785344S809308/78SF164,2025-04-18,114677,EAST
서울디아치과의원,DS Core Care 1-3,서울특별시,강서구,마곡중앙6로 21,0507-1449-2872,Primescan Connect,6795491,M6785344S809092/180W044,2025-04-17,114672,WEST
동래센트럴치과,DS Core Care 1-3,부산광역시,동래구,충렬대로 259,051-555-2877,Primescan Connect,6795491,M6785344S809154/9D8F164,2025-04-18,114671,EAST
이튼플러스치과,DS Core Care 1-3,부산광역시,동래구,아시아드대로 239-1,051-919-2875,Primescan Connect,6795491,M6785344S809156/5JYF164,2025-04-18,112048,EAST
김지웅치과의원,DS Core Care 1-3,대전광역시,동구,동서대로 1679 ,042-621-5134,Primescan Connect,6795491,M6785344S809336/JV3G164,2025-04-17,100836,WEST
해오름치과의원,DS Core Care 1-3,경기도,광명시,철산로 36 ,02-6959-2817,Primescan Connect,6795491,M6785344S809339 / 8GP7C54,2025-04-16,114663,WEST
서울에스치과의원,DS Core Care 1-3,전북특별자치도,전주시,덕진구 백제대로 751,063-246-7528,Primescan Connect,6795491,M6785344S809075/F11T044,2025-04-16,114659,WEST
서울에스치과의원,DS Core Care 1-3,전북특별자치도,전주시,덕진구 백제대로 751,063-246-7528,Primescan Connect,6795491,M6785344S809073/FVJS044,2025-04-16,114659,WEST
서울에스치과의원,DS Core Care 1-3,전북특별자치도,전주시,덕진구 백제대로 751,063-246-7528,Primescan Connect,6795491,M6785344S809072/BNF5Y84,2025-04-16,114659,WEST
서울민치과의원,DS Core Care 1-3,서울특별시,강북구,도봉로 174,02-988-2080,Primescan Connect,6795491,M6785344S809321 / 9LN6C54,2025-04-16,110230,EAST
연세영치과의원,DS Core Care 1-3,경상북도,의성군,의성읍 문소3길 110-1,054-833-7522,Primescan Connect,6795491,M6785344S808900,2025-04-15,114606,EAST
김영훈치과의원,DS Core Care 1-3,경기도,수원시,팔달구 우만동 490-7,031-254-7528,Primescan Connect,6795491,M6785344S809375 / 8JFF164,2025-04-14,102983,WEST
안양인(人)플란트치과의원,DS Core Care 1-3,경기도,안양시,만안구 안양로314번길 24 ,031-442-7528,Primescan Connect,6795491,M6785344S809309/65S7C54,2025-04-14,114640,WEST
그랜드치과의원,DS Core Care 1-3,충청남도,서산시,중앙로 105,041-681-4100,Primescan Connect,6795491,M6785344S808464/GH5BB54,2025-04-14,114014,WEST
용호큰치과의원,DS Core Care 1-3,부산광역시,남구,용호로 173,051-625-2882,Primescan Connect,6795491,M6785344S808302/G6JHC54,2025-04-11,114641,EAST
리온치과의원,DS Core Care 1-3,경기도,양주시,덕계로 130,,Primescan Connect,6795491,M6785344S808906/5MC6C54,2025-04-10,114639,EAST
365라온누리치과의원,DS Core Care 1-3,경기도,오산시,내삼미로79번길 23,031-374-7575,Primescan Connect,6795491,M6785344S809078 / 2WPS044,2025-04-11,114342,WEST
에스프라임치과 광장점,DS Core Care 1-3,대구광역시,달서구,달구벌대로 1706,053-651-7528,Primescan Connect,6795491,M6785344S808896 / cv7zb54,2025-04-11,114660,EAST
연세가은치과의원,DS Core Care 1-3,서울특별시,마포구,마포대로 109 ,02-707-2275,Primescan Connect,6795491,M6785344S809338 / 1SS6C54,2025-04-10,114632,WEST
365플러스 치과의원,DS Core Care 1-3,경기도,하남시,미사강변동로84번길 39,031-791-2870,Primescan Connect,6795491,M6785344S809077/4GPV044,2025-04-10,111563,EAST
암사중앙치과의원,DS Core Care 1-3,서울특별시,강동구,상암로 48,02-477-2855,Primescan Connect,6795491,M6785344S809313/GD8F164,2025-04-07,114634,EAST
소나무 치과의원,DS Core Care 1-3,경기도,김포시,고촌읍 김포대로 331,031-985-2252,Primescan Connect,6795491,M6785344S809370/G9SF164,2025-05-02,114633,WEST
미르치과병원_전남 목포시,,전라남도,목포시,백년대로 319,061-280-8800,Primescan Connect,6795491,M6785344S809071/8ZBV044,2025-04-04,103595,WEST
서울더플랜치과의원,DS Core Care 1-3,서울특별시,노원구,노해로 494,02-935-2828,Primescan Connect,6795491,M6785344S809006/JKVV044,2025-04-02,114130,EAST
심플란트치과_경기도 시흥,DS Core Care 1-3,경기도,시흥시,공단1대로 244,031-430-2875,Primescan Connect,6795491,M6785344S809252/9KN6C54,2025-04-04,105055,WEST
상동사랑이가득한치과의원,DS Core Care 1-3,경기도,부천시,원미구 상동로 87,032-323-2875,Primescan Connect,6795491,M6785344S809374 / 6XLF164,2025-04-04,114643,WEST
365플란트치과,DS Core Care 1-3,인천광역시,부평구,장제로 145,032-361-8880,Primescan Connect,6795491,M6785344S809099/2WLF164,2025-04-02,114629,WEST
서울지디치과의원,DS Core Care 1-3,서울특별시,양천구,중앙로 291,02-6737-2080,Primescan Connect,6795491,M6785344S809310/CMN6C54,2025-04-09,114635,WEST
신영치과의원,,서울특별시,양천구,월정로 165,02-2604-2080,Primescan Connect,6795491,M6785344S809337/4HYF164,2025-04-03,114630,WEST
오산본플란트 치과의원,DS Core Care 1-3,경기도,오산시,부산중앙로 25-6,031-376-1275,Primescan Connect,6795491,M6785344S809065/5LWS044,2025-04-01,114593,WEST
공릉온치과의원,DS Core Care 1-3,서울특별시,노원구,동일로 1029,02-978-2828,Primescan Connect,6795491,M6785344S808314/92XCC54,2025-04-01,114624,EAST
참편한 치과의원,DS Core Care 1-3,광주광역시,북구,밤실로 162,062-266-7500,Primescan Connect,6795491,M6785344S809095/920W044,2025-03-31,114623,WEST
구미이튼365치과의원,DS Core Care 1-3,경상북도,구미시,상사서로 33-7 ,054-465-7528,Primescan Connect,6795491,M6785344S809212 / 2VS6C54,2025-03-31,113900,EAST
미소사랑치과의원,DS Core Care 1-3,경상남도,창원시,팔용동 103-2사화빌딩401호,055-299-2820,Primescan Connect,6795491,M6785344S809211,2025-03-28,105537,EAST
대구365치과의원,DS Core Care 1-3,대구광역시,북구,침산로 148,,Primescan Connect,6795491,M6785344S809102 / 6FYF164,2025-03-28,114848,EAST
연세이안치과,DS Core Care 1-3,대전광역시,서구,계백로 900,042-716-6056,Primescan Connect,6795491,M6785344S809074 / 3YVS044,2025-03-28,114622,WEST
우석치과의원,DS Core Care 1-3,전북특별자치도,김제시,서암4길 19,063-547-9898,Primescan Connect,6795491,M6785344S809093/606V044,2025-03-28,104051,WEST
이미지치과의원,DS Core Care 1-3,전북특별자치도,전주시,모악로 4769 ,063-237-2080,Primescan Connect,6795491,M6785344S809091/GQQS044,2025-03-28,102923,WEST
토마토치과의원,DS Core Care 1-3,대구광역시,수성구,범안로 68,053-768-2875,Primescan Connect,6795491,M6785344S809090 / 5ZVS044,2025-03-28,114621,EAST
탑플랜치과의원,DS Core Care 1-3,서울특별시,강서구,양천로30길 123-28,02-2668-2804,Primescan Connect,6795491,M6785344S809069/FGPV044,2025-03-27,108034,WEST
전주이든치과,DS Core Care 1-3,전북특별자치도,전주시,완산구 홍산로 249,063-232-7528,Primescan Connect,6795491,M6785344S808987/1NZG164,2025-03-26,114614,WEST
중앙치과_경북 경주시,DS Core Care 1-3,경상북도,경주시,외동읍 입실리 997-5,054-776-6161,Primescan Connect,6795491,M6785344S809068,2025-03-26,108262,EAST
연세영치과의원,DS Core Care 1-3,경상북도,의성군,의성읍 문소3길 110-1,054-833-7522,Primescan Connect,6795491,M6785344S808318,2025-03-26,114606,EAST
퍼스트플란트치과,DS Core Care 1-3,광주광역시,북구,북문대로 167,,Primescan Connect,6795491,M6785344S808935/HF4CC54,2025-03-25,114609,WEST
서울명문치과,DS Core Care 1-3,강원특별자치도,홍천군,홍천읍 홍천로3길 16 ,033-436-2804,Primescan Connect,6795491,M6785344S809033/3D0HC54,2025-03-24,105972,EAST
리더스치과,DS Core Care 1-3,충청북도,청주시,흥덕구 복대로 179,043-237-6677,Primescan Connect,6795491,M6785344S808365 / JP6DB54,2025-03-25,114604,WEST
예미담치과의원,DS Core Care 1-3,경상북도,예천군,호명면 새움3로 20,054-653-2875,Primescan Connect,6795491,M6785344S809066,2025-03-24,111758,EAST
바로이치과,DS Core Care 1-3,경기도,부천시,부일로 464,1544-8528,Primescan Connect,6795491,M6785344S808312 /90CLB54,2025-03-21,110033,WEST
예미담치과의원,DS Core Care 1-3,전북특별자치도,군산시,수송로 315 ,063-452-7528,Primescan Connect,6795491,M6785344S808988/8L3G164,2025-03-24,114603,WEST
뿌리플란트치과의원,DS Core Care 1-3,강원특별자치도,동해시,천곡로 86-2,033-534-2080,Primescan Connect,6795491,M6785344S808921/BG4CC54,2025-03-21,114573,EAST
연세맑음치과의원,DS Core Care 1-3,경기도,이천시,아리역로 1,,Primescan Connect,6795491,M6785344S808926 / B7PVB54,2025-03-21,114590,EAST
정성다함치과의원,DS Core Care 1-3,인천광역시,부평구,열우물로 66,032-422-2888,Primescan Connect,6795491,M6785344S809008/2FFF164,2025-03-20,114595,WEST
엄윤섭구강악안면외과치과의원,DS Core Care 1-3,충청북도,제천시,풍양로 101,043-645-0275,Primescan Connect,6795491,M6785344S809058/5BSF164,2025-03-20,114591,WEST
내가가는광명치과의원,DS Core Care 1-3,경기도,광명시,오리로 942,02-2611-7428,Primescan Connect,6795491,M6785344S808923 / 8RF3C54,2025-03-20,114602,WEST
메가탑치과,DS Core Care 1-3,경기도,안양시,만안구 태평로52번길 37,031-465-2828,Primescan Connect,6795491,M6785344S808933/53JDC54,2025-03-20,110807,WEST
디지털탑치과의원_충남 아산,DS Core Care 1-3,충청남도,아산시,문화로 257-10,041-534-0070,Primescan Connect,6795491,M6785344S808915/5B4CC54,2025-03-20,101591,WEST
하얀수치과의원,DS Core Care 1-3,부산광역시,기장군,정관면 매학리 713-2,051-728-0075,Primescan Connect,6795491,M6785344S808316/J7F3C54,2025-03-20,114592,EAST
제주365치과의원,DS Core Care 1-3,제주특별자치도,제주시,신형로 51,064-742-2872,Primescan Connect,6795491,M6785344S808299/D20KB54,2025-03-21,114578,WEST
북비산치과,,대구광역시,서구,달서로 194,053-552-3070,Primescan Connect,6795491,M6785344S808918,2025-03-19,105795,EAST
고운이치과의원,DS Core Care 1-3,부산광역시,북구,효열로 224,051-335-7181,Primescan Connect,6795491,M6785344S808907/1H57C54,2025-03-19,113839,EAST
용치과의원_인천  남동구,DS Core Care 1-3,인천광역시,남동구,용천로 82,032-467-7528,Primescan Connect,6795491,M6785344S808929/H5F3C54,2025-03-17,110577,WEST
마카온치과,DS Core Care 1-3,대구광역시,수성구,달구벌대로 2492,053-710-2816,Primescan Connect,6795491,M6785344S808480,2025-03-14,114582,EAST
수치과의원,DS Core Care 1-3,경기도,광명시,광명동 346-48,02-2682-0028,Primescan Connect,6795491,M6785344S808301/CH5CC54,2025-03-14,114572,WEST
이심는연합치과,DS Core Care 1-3,전북특별자치도,익산시,영등동 773-16 2층 201호내동측,063-834-7272,Primescan Connect,6795491,M6785344S809032/6MP7C54,2025-03-13,114577,WEST
김치과의원_전남 담양,DS Core Care 1-3,전라남도,담양군,담양읍 천변7길 14,061-382-2828,Primescan Connect,6795491,M6785344S808936/64F3C54,2025-03-12,101728,WEST
조세종치과의원,DS Core Care 1-3,서울특별시,노원구,동일로 1533,02-934-2828,Primescan Connect,6795491,M6785344S808925,2025-03-12,105251,EAST
패밀리치과의원,DS Core Care 1-3,세종특별자치시,,달빛로 47,044-866-2804,Primescan Connect,6795491,M6785344S808466/GFJBB54,2025-03-11,114569,WEST
연세우리집치과의원,DS Core Care 1-3,서울특별시,송파구,백제고분로 364,02-415-2879,Primescan Connect,6795491,M6785344S808990 / 6GYF164,2025-03-07,113572,EAST
바른손치과,DS Core Care 1-3,대구광역시,북구,침산남로 165,053-358-1500,Primescan Connect,6795491,M6785344S808927 / DQF3C54,2025-03-07,114568,EAST
가이드치과병원,DS Core Care 1-3,경상북도,구미시,인동36길 17,054-471-2885,Primescan Connect,6795491,M6785344S808924 /CXD3C54,2025-03-07,114562,EAST
로덴송치과의원,DS Core Care 1-3,서울특별시,성북구,종암로 110,02-941-4974,Primescan Connect,6795491,M6785344S806750/CLC6C54,2025-03-06,114561,EAST
서울진정치과의원,DS Core Care 1-3,경기도,의정부시,천보로 44,,Primescan Connect,6795491,M6785344S807073/FPZ1C54,2025-03-05,114557,EAST
비전치과의원,DS Core Care 1-3,광주광역시,광산구,풍영로329번길 19,062-954-2758,Primescan Connect,6795491,M6785344S808913/CSV6C54,2025-03-07,114563,WEST
예나치과교정과치과의원 동탄역점,DS Core Care 1-3,경기도,화성시,동탄대로 537,031-374-1080,Primescan Connect,6795491,M6785344S808920 / JTC6C54,2025-03-10,114567,WEST
넥스트치과,DS Core Care 1-3,서울특별시,중구,남대문로7길 11,02-776-2880,Primescan Connect,6795491,M6785344S809026/GLN6C54,2025-03-05,114559,WEST
뉴욕BNS치과,DS Core Care 1-3,서울특별시,구로구,구로동 212-8 대륭포스트타워1차 2층 217,02-856-2874,Primescan Connect,6795491,M6785344S808917/GR18C54,2025-03-05,107488,WEST
화이트듀(WHITE DEW),DS Core Care 1-3,울산광역시,남구,삼산로 267번길 6-16 ,055-221-8275,Primescan Connect,6795491,M6785344S808916/2N5CC54,2025-03-05,114556,EAST
세이프플란트치과의원,DS Core Care 1-3,서울특별시,강남구,테헤란로25길 7,02-565-2876,Primescan Connect,6795491,M6785344S809029 / 4PC6C54,2025-03-05,110782,EAST
샤인치과의원,DS Core Care 1-3,강원특별자치도,원주시,봉화로 27,033-744-7525,Primescan Connect,6795491,M6785344S809017/BXC6C54,2025-03-04,114558,EAST
다담웃음치과의원,DS Core Care 1-3,강원특별자치도,원주시,지정면 신지정로 316-1,033-748-2275,Primescan Connect,6795491,M6785344S809016/H5L5C54,2025-03-04,114733,EAST
서울선치과의원,DS Core Care 1-3,경기도,의정부시,장암동 20-9 골드프라자 상가-303,031-879-7528,Primescan Connect,6795491,M6785344S808391 / FS5BB54,2025-02-28,114540,EAST
운정365치과,DS Core Care 1-3,경기도,파주시,와동동 파주운정지구근린상업용지F61-12윤정프라자502,031-948-0365,Primescan Connect,6795491,M6785344S808993 / 2JFF164,2025-02-28,106430,WEST
하얀미소치과,DS Core Care 1-3,충청북도,청주시,상당구 중고개로 324,043-291-6300,Primescan Connect,6795491,M6785344S808992/JC8F164,2025-02-28,114553,WEST
마곡베스트치과의원,DS Core Care 1-3,서울특별시,강서구,마곡중앙5로1길 20,02-2093-6545,Primescan Connect,6795491,M6785344S808908/4L57C54,2025-02-28,114546,WEST
디지털온치과의원,DS Core Care 1-3,대구광역시,달서구,월배로 170,053-642-1600,Primescan Connect,6795491,M6785344S808934,2025-02-28,114560,EAST
고운치과의원,DS Core Care 1-3,서울특별시,서초구,효령로 132,055-266-2828,Primescan Connect,6795491,M6785344S808986 / 798F164,2025-02-26,114570,EAST
고기종치과의원,DS Core Care 1-3,인천광역시,남동구,만수동 1117-2,032-464-2875,Primescan Connect,6795491,M6785344S808922/BJPBB54,2025-02-26,103176,WEST
미소부부치과의원,DS Core Care 1-3,경상남도,창녕군,창녕읍 우포2로 1215,055-533-2871,Primescan Connect,6795491,M6785344S808937/C66HC54,2025-02-26,108073,EAST
리볼리치과의원,DS Core Care 1-3,경기도,성남시,분당구 성남대로 45,031-786-0179,Primescan Connect,6795491,M6785344S808910/ЗТС6С54,2025-02-25,114547,EAST
이끌림치과,DS Core Care 1-3,서울특별시,강동구,양재대로 1574,02-6228-8275,Primescan Connect,6795491,M6785344S808455/H7THB54,2025-02-26,114544,EAST
수플란트 치과의원,DS Core Care 1-3,대전광역시,대덕구,송촌북로36번길 24,042-626-2877,Primescan Connect,6795491,M6785344S809014/526HC54,2025-02-25,114536,WEST
라온치과의원,DS Core Care 1-3,경상북도,영주시,대학로298번길 17,,Primescan Connect,6795491,M6785344S808445/J0V9B54,2025-02-24,114532,EAST
라온치과의원,DS Core Care 1-3,경상북도,영주시,대학로298번길 17,,Primescan Connect,6795491,M6785344S808452/73PDB54,2025-02-24,114532,EAST
뉴욕치과_경남 거제,DS Core Care 1-3,경상남도,거제시,서문로 64,055-633-6528,Primescan Connect,6795491,M6785344S808297/584CC54,2025-02-21,107743,EAST
에이엠치과,DS Core Care 1-3,대구광역시,수성구,달구벌대로 2331,053-753-2080,Primescan Connect,6795491,M6785344S809013,2025-02-20,114537,EAST
성모본치과의원,DS Core Care 1-3,경기도,부천시,소사구 범안로 117,032-346-2080,Primescan Connect,6795491,M6785344S808453 / 15JBB54,2025-02-20,102290,WEST
송현치과의원,DS Core Care 1-3,경상북도,안동시,옥동  990-2번지 매트로빌딩 2층,054-857-2849,Primescan Connect,6795491,M6785344S809012 / D5J6C54,2025-02-19,101353,EAST
참사랑 주치과,DS Core Care 1-3,부산광역시,수영구,남천동로 36,051-628-2275,Primescan Connect,6795491,M6785344S808447/92PDB54,2025-02-18,111091,EAST
유디치과의원,DS Core Care 1-3,경기도,의정부시,시민로 80,031-877-0909,Primescan Connect,6795491,M6785344S809011/79J6C54,2025-02-17,114530,EAST
서울오라클치과,DS Core Care 1-3,부산광역시,부산진구,중앙대로 708,051-806-2275,Primescan Connect,6795491,M6785344S808461/F7PDB54,2025-02-17,113942,EAST
미르치과병원_전북 전주시,DS Core Care 1-3,전북특별자치도,전주시,완산구 백제대로 218,063-224-7700,Primescan Connect,6795491,M6785344S808450/JSHKB54,2025-02-17,100784,WEST
코아부부치과의원,DS Core Care 1-3,경기도,하남시,신장2동  523-1번지 현대베스코아7층 706호,031-795-2875,Primescan Connect,6795491,M6785344S808977/1G4CC54,2025-02-14,109877,EAST
참조은병원,DS Core Care 1-3,경기도,광주시,광주대로 45,1600-9955,Primescan Connect,6795491,M6785344S808462/B5WCB54,2025-02-13,110259,EAST
연세이편한치과의원,DS Core Care 1-3,인천광역시,부평구,마장로 396,032-522-2080,Primescan Connect,6795491,M6785344S808428/B4VDB54,2025-02-13,114521,WEST
힐링치과의원,DS Core Care 1-3,경기도,김포시,김포한강1로 227,031-997-0242,Primescan Connect,6795491,M6785344S808484 / HD4CC54,2025-02-13,113999,WEST
서울엘치과,DS Core Care 1-3,서울특별시,서초구,신반포로 165,02-532-2872,Primescan Connect,6795491,M6785344S808955/DYPB334,2025-02-12,114522,EAST
서울현치과의원_경남 진주,DS Core Care 1-3,경상남도,진주시,진양호로 541,055-781-0300,Primescan Connect,6795491,M6785344S808898 / G6F3C54,2025-02-12,114520,EAST
탑석센트럴치과의원,DS Core Care 1-3,경기도,의정부시,충의로 25,,Primescan Connect,6795491,M6785344S808479 / J5F3C54,2025-02-12,114480,EAST
박철치과,DS Core Care 1-3,경기도,수원시,권선구 권선동 1274 ,031-224-2875,Primescan Connect,6795491,M6785344S808911 / HF57C54,2025-02-11,114511,WEST
서울매일치과의원,DS Core Care 1-3,경기도,평택시,탄현로 58,031-662-2882,Primescan Connect,6795491,M6785344S808443 / 8Z4KB54,2025-02-10,111547,WEST
서울매일치과의원,DS Core Care 1-3,경기도,평택시,탄현로 58,031-662-2882,Primescan Connect,6795491,M6785344S808434 / 3B1DB54,2025-02-10,111547,WEST
대구365치과의원,DS Core Care 1-3,대구광역시,북구,침산로 148,,Primescan Connect,6795491,M6785344S809216,2025-07-22,114848,EAST
예미담치과(아산),DS Core Care 1-3,충청남도,아산시,배방읍 북수로 128,041-548-8228,Primescan Connect,6795491,M6785344S810313/CHFFH74,2025-07-22,106924,WEST
신동인치과의원,DS Core Care 1-3,인천광역시,계양구,용종동 209-4 계양프라자 305,032-541-1031,Primescan Connect,6795491,M6785344S809633 / HVTC194,2025-07-21,105479,WEST
영진치과의원,DS Core Care 1-3,경기도,양평군,양평읍 시민로 10,031-773-9000,Primescan Connect,6795491,M6785344S809999/C083T34,2025-07-17,114846,EAST
박치과의원,,경상북도,상주시,함창읍 가야로 12,054-541-9428,Primescan Connect,6795491,M6785344S809641,2025-07-16,103402,EAST
연세민트치과,DS Core Care 1-3,충청북도,청주시,상당구 중흥로 201 ,043-286-2804,Primescan Connect,6795491,M6785344S810312/3X6GH74,2025-07-15,114838,WEST
NY양치과의원,DS Core Care 1-3,광주광역시,북구,북문대로 117,062-529-2879,Primescan Connect,6795491,M6785344S808905/6J5CC54,2025-07-14,114831,WEST
탑석센트럴치과의원,DS Core Care 1-3,경기도,의정부시,충의로 25,,Primescan Connect,6795491,M6785344S809786/45R4Y84,2025-07-10,114480,EAST
조은치과,DS Core Care 1-3,전북특별자치도,정읍시,충정로 30 ,063-533-2875,Primescan Connect,6795491,M6785344S810304/D6WX694,2025-07-09,114830,WEST
뉴욕치과,DS Core Care 1-3,전라남도,진도군,진도읍 남동리 493-1,061-544-2827,Primescan Connect,6795491,M6785344S809674/JD24Y84,2025-07-10,104946,WEST
제이에스(JS)치과의원,DS Core Care 1-3,서울특별시,서초구,반포대로 58,02-887-6400,Primescan Connect,6795491,M6785344S809664,2025-07-09,103485,EAST
현미경치과,DS Core Care 1-3,서울특별시,강남구,선릉로 32,02-529-2879,Primescan Connect,6795491,M6785344S809009 / JQQS044,2025-07-08,113102,EAST
모산아르떼치과의원,DS Core Care 1-3,경기도,평택시,지제동삭1로 208,,Primescan Connect,6795491,M6785344S809911/FSD3T34,2025-07-08,114822,WEST
뉴 무학부부치과기공소,DS Core Care 1-3,경상남도,창원시,마산회원구 양덕로 153,010-8754-4537,Primescan Connect,6795491,M6785344S809665,2025-07-07,114829,EAST
플란치과병원_부산 부산진구,,부산광역시,부산진구,범일로 177,,Primescan Connect,6795491,M6785344S808483/5TRCC54,2025-07-07,113600,EAST
연세힐치과의원,DS Core Care 1-3,서울특별시,강서구,강서로 231,02-2697-2875,Primescan Connect,6795491,M6785344S809659/1W05Y84,2025-07-07,114828,WEST
탑부부치과의원,DS Core Care 1-3,충청남도,당진시,송악읍 신복운로3길 28,041-970-2875,Primescan Connect,6795491,M6785344S809618/GY05Y84,2025-07-04,112167,WEST
고르다치과,DS Core Care 1-3,부산광역시,부산진구,중앙대로 749,051-711-2842,Primescan Connect,6795491,M6785344S808482/HY87C54,2025-07-03,113730,EAST
고르다치과의원,DS Core Care 1-3,서울특별시,서초구,강남대로69길 10,02-557-7520,Primescan Connect,6795491,M6785344S808904/4NH7C54,2025-07-03,114821,EAST
예미담치과의원_경기 군포시,DS Core Care 1-3,경기도,군포시,도마교동 478-3 금강프라자 403,031-417-2875,Primescan Connect,6795491,M6785344S809657/2HW4Y84,2025-06-30,112639,WEST
연세그리다치과의원 강동둔촌,DS Core Care 1-3,서울특별시,강동구,양재대로89가길 29,02-482-2080,Primescan Connect,6795491,M6785344S808899 / JCOBB54,2025-07-01,114820,EAST
엔젤치과의원,DS Core Care 1-3,경상북도,포항시,북구 포스코대로 295,054-727-2828,Primescan Connect,6795491,M6785344S806677,2025-06-30,114814,EAST
더하기치과,DS Core Care 1-3,경기도,평택시,세교동 영신지구 36블럭 1로트 1동 201호,,Primescan Connect,6795491,M6785344S809994/6QL3T34,2025-07-14,114770,WEST
사랑치과의원,DS Core Care 1-3,광주광역시,북구,우산동  207-10,062-251-2877,Primescan Connect,6795491,M6785344S809726/5XK5Y84,2025-06-27,114818,WEST
서울정치과의원,DS Core Care 1-3,대구광역시,달서구,달구벌대로 1800,053-652-2900,Primescan Connect,6795491,M6785344S808481,2025-06-26,114819,EAST
삼일의료재단(미리본치과),,충청남도,천안시,서북구 성정두정로 12,041-565-7528,Primescan Connect,6795491,M6785344S808393/DKP7C54,2025-06-25,114799,WEST
아산정플란트치과의원,DS Core Care 1-3,충청남도,아산시,온천대로 1065,041-424-2804,Primescan Connect,6795491,M6785344S809140/J5SF164,2025-06-26,114806,WEST
올바로치과의원,DS Core Care 1-3,경기도,파주시,문산읍 문향로67번길 1,,Primescan Connect,6795491,M6785344S808901/HL57C54,2025-06-26,114807,WEST
서리풀치과의원,DS Core Care 1-3,서울특별시,서초구,방배로 162,,Primescan Connect,6795491,M6785344S809675/H83HY84,2025-06-26,114767,EAST
계양산치과의원,DS Core Care 1-3,인천광역시,계양구,경명대로 1111,,Primescan Connect,6795491,M6785344S808425/JYTDB54,2025-06-25,114801,WEST
군포도담 치과의원,DS Core Care 1-3,경기도,군포시,군포로 470,031-391-0770,Primescan Connect,6795491,809729/5V05Y84,2025-06-25,110475,WEST
수원본플란트치과의원,DS Core Care 1-3,경기도,수원시,권선구 금호로 210,031-546-8728,Primescan Connect,6795491,M6785344S809904/63F3T34,2025-06-23,114808,WEST
이튼 플러스 치과,DS Core Care 1-3,서울특별시,광진구,뚝섬로 629,02-453-7528,Primescan Connect,6795491,M6785344S809918/7483T34,2025-06-24,114791,EAST
삼성디에스알(DSR)치과의원,DS Core Care 1-3,경기도,화성시,삼성전자로 1-1,031-273-2879,Primescan Connect,6795491,M6785344S809913/H7F3T34,2025-06-24,113820,WEST
열린치과의원,DS Core Care 1-3,전라남도,광양시,광영로 70 ,061-793-2875,Primescan Connect,6795491,M6785344S809784/76R4Y84,2025-06-24,104804,WEST
더오케이치과의원,DS Core Care 1-3,경기도,수원시,장안구 만석로19번길 25-5 ,031-269-8853,Primescan Connect,6795491,"M6785344S809663	/J4R4Y84",2025-06-23,114792,WEST
평창 다인치과,DS Core Care 1-3,서울특별시,종로구,평창문화로 39 ,02-394-5275,Primescan Connect,6795491,M6785344S809890/1YTC194,2025-06-19,109033,WEST
대구예스타치과의원,DS Core Care 1-3,대구광역시,중구,중앙대로 366,053-719-3346,Primescan Connect,6795491,M6785344S807070,2025-06-20,110584,EAST
박원식 오케이 치과,DS Core Care 1-3,경기도,안양시,동안구 관평로 312,031-382-2882,Primescan Connect,6795491,"M6785344S809912	/3T73T34",2025-06-20,114796,WEST
서울조아치과,DS Core Care 1-3,경기도,김포시,걸포로 34,031-989-2272,Primescan Connect,6795491,M6785344S809886/BNQC194,2025-06-19,112938,WEST
서울 덴티크 치과,DS Core Care 1-3,서울특별시,강남구,논현로111길 3 ,,Primescan Connect,6795491,M6786344S809121/4CVV044,2025-06-18,114789,EAST
나래치과_전남 순천시,DS Core Care 1-3,전라남도,순천시,해룡면 상삼리 693,061-723-7543,Primescan Connect,6795491,M6785344S809896/CLXC194,2025-06-18,108159,WEST
미라클플란트치과의원,,경기도,고양시,일산동구 중앙로 1190,031-902-1112,Primescan Connect,6795491,M6785344S809721/DF64Y84,2025-06-17,114637,WEST
서울에스치과의원,DS Core Care 1-3,서울특별시,광진구,용마산로 5,02-447-2275,Primescan Connect,6795491,M6785344S809658 / J4T6Y84,2025-06-17,112013,EAST
연세세브란스치과의원,DS Core Care 1-3,경기도,수원시,권선구 곡반정로 121,031-222-2804,Primescan Connect,6795491,M6785344S809166/C0MF164,2025-06-17,114775,WEST
서울온뉴치과의원,DS Core Care 1-3,부산광역시,동래구,아시아드대로 229,0507-1465-2160,Primescan Connect,6795491,M6785344S809605/BW05Y84,2025-06-16,114774,EAST
바노바기일레븐치과의원,DS Core Care 1-3,서울특별시,강남구,논현로 521-3,02-562-2522,Primescan Connect,6795491,M6785344S809165 / DBVV044,2025-06-16,107986,EAST
연세미래엔미소치과병원,DS Core Care 1-3,서울특별시,강동구,상일로10길 36 ,02-441-2275,Primescan Connect,6795491,M6785344S809732/4H1HY84,2025-06-13,114765,EAST
토미치과의원,,충청북도,충주시,번영대로 222,043-853-2875,Primescan Connect,6795491,M6785344S809895/HTTC194,2025-06-13,114773,WEST
서울본치과의원,DS Core Care 1-3,강원특별자치도,평창군,진부면 진부중앙로 92,033-334-2828,Primescan Connect,6795491,M6785344S809891/ HXTC194,2025-06-12,114779,EAST
심스치과의원,DS Core Care 1-3,경기도,포천시,가산면  마산리 183-8,031-541-7528,Primescan Connect,6795491,M6785344S809728/5KW4Y84,2025-06-13,114764,EAST
